Australia,Bangladesh,England,India,Ireland,New Zealand,Pakistan,South Africa,Sri Lanka,Thailand,West Indies
HL Ferling,Shorna Akter,A Shrubsole,S Verma,L Maritz,AE Satterthwaite,Batool Fatima,N Mlaba,RS Vandort,C Sutthiruang,HK Matthews
GM Harris,Fargana Hoque,KH Sciver-Brunt,M Joshi,EJ Tice,SRH Curtis,Umaima Sohail,F Tunnicliffe,RMVD Gunaratne,S Laomi,SACA King
A King,Shamima Sultana,AE Jones,JI Rodrigues,L Paul,JM Watkin,Nain Abidi,SA Fritz,KDU Prabodhani,N Koncharoenkai,AA Alleyne
EJ Villani,Panna Ghosh,LA Marsh,SK Naidu,J Gray,ML Green,Javeria Khan,D Tucker,BYA Mendis,S Lateh,T Holder
RM Farrell,Marufa Akter,LK Bell,KV Jain,G Dempsey,LMM Tahuhu,Nahida Khan,M Klaas,AC Jayangani,N Boochatham,SR Taylor
RL Haynes,Shohely Akhter,LS Greenway,RM Ghosh,C Raack,GE Plimmer,Ayesha Naseem,S Jafta,PM Weerakkody,W Liengprasert,ASS Fletcher
BL Mooney,Shaila Sharmin,NR Sciver-Brunt,Soniya Dabir,IMHC Joyce,MM Penfold,Aliya Riaz,Y Fourie,GWHM Perera,N Chantam,NY McLean
NJ Carey,Sanjida Islam,KL Gordon,RS Gayakwad,A Hunter,RA Mair,Anam Amin,S Ismail,SIP Fernando,N Chaiwai,SA Campbelle
JE Cameron,Sharmin Akhter,MK Villiers,PG Raut,CNIM Joyce,FC Jonas,Sania Khan,D van Niekerk,NND de Silva,O Kamchomphu,K Ramharack
M Strano,Ritu Moni,HC Knight,Poonam Yadav,MEMO Scott-Hayward,LM Kasperek,Iram Javed,L Lee,M Shehani,R Padunglerd,TD Smartt
JL Hunter,Ayasha Rahman,CE Dean,RP Yadav,RA Lewis,EM Bermingham,Nashra Sandhu,CL Tryon,U Thimashini,S Tippoch,Z James
D Brown,Nigar Sultana,GA Elwiss,S Pandey,C Murray,MJG Nielsen,Muneeba Ali,D Devnarain,MDN Hansika,,SF Daley
JL Jonassen,Nuzhat Tasnia,S Glenn,D Hemalatha,CMA Shillington,KJ Martin,Aiman Anwer,M Daniels,KADA Kanchana,,Kycia A Knight
AJ Blackwell,Nahida Akter,SJ Taylor,G Sultana,CC Dalton,NJ Browne,Nida Dar,Z Mali,S Sandeepani,,S Gajnabi
KM Beams,Salma Khatun,CM Edwards,A Das,SM Kavanagh,SJ McGlashan,Syeda Aroob Shah,A Bosch,PRCS Kumarihami,,SS Connell
DM Kimmince,Murshida Khatun,SIR Dunkley,P Vastrakar,L Little,SW Bates,Diana Baig,T Chetty,SS Weerakkody,,MR Aguilleira
MM Lanning,Khadija Tul Kubra,JM Dibble,Renuka Singh,AN Kelly,KT Perkins,Sadia Iqbal,M Kapp,H Madavi,,B Cooper
A Sutherland,Fahima Khatun,TT Beaumont,H Deol,CJ Metcalfe,B Bezuidenhout,Sidra Nawaz,MM Letsoalo,MAA Sanjeewani,,SL Quintyne
S Molineux,S Mostary,,E Bisht,EAJ Richardson,AM Peterson,Asmavia Iqbal,A Khaka,H Karunaratne,,LAGL Kirby
SJ Coyte,Rumana Ahmed,DN Wyatt,S Mandhana,MV Waldron,HR Huddleston,Sadaf Shamas,L Wolvaardt,MADD Surangika,,Kyshona A Knight
TM McGrath,Jahanara Alam,L Winfield,V Krishnamurthy,AJ Kenealy,EJ Carson,Bismah Maroof,M du Preez,HASD Siriwardene,,SC Selman
G Wareham,Lata Mondal,A Capsey,VR Vanitha,J Maguire,SFM Devine,Qanita Jalil,T Brits,LE Kaushalya,,CN Nation
L Cheatle,,JL Gunn,H Kaur,LN McCarthy,RH Priest,Fatima Sana,TS Sekhukhune,HAM Samuddika,,RS Williams
TJ Vlaeminck,,FR Davies,M Mehta,GH Lewis,FL Mackay,Sumaiya Siddiqi,Y van der Westhuizen,HMD Rasangika,,CA Henry
A Gardner,,LCN Smith,AA Patil,LK O'Reilly,FC Leydon-Davis,Tuba Hassan,S Luus,I Ranaweera,,A Mohammed
AJ Healy,,FC Wilson,YH Bhatia,K McKenna,HNK Jensen,Sana Mir,N de Klerk,WK Dilhari,,DJS Dottin
EA Perry,,S Ecclestone,M Raj,KJ Garth,JM Kerr,Marina Iqbal,S Loubser,OU Ranasinghe,,
EA Osborne,,RL Grundy,S Rana,L Delany,HM Rowe,Sadia Yousuf,,HHC Gunaratne,,
ML Schutt,,,T Bhatia,O Prendergast,AC Kerr,Ayesha Zafar,,BMSM Kumari,,
,,D Hazell,L Kumari,ELC Flanagan,,Sidra Ameen,,WGAKK Kulasuriya,,
,,,S Sharma,,,,,,,
,,,Shafali Verma,,,,,,,
,,,J Goswami,,,,,,,
,,,A Reddy,,,,,,,
,,,DP Vaidya,,,,,,,
,,,DB Sharma,,,,,,,
