player,runs
L Lee,67
D van Niekerk,90
Nain Abidi,28
Qunita Jalil,6
Javeria Khan,11
Nida Dar,32
Bismah Marrof,15
Sana Mir,3
Nahida Khan,10
Asmavia Iqbal,1
Batool Fatima,6
Sumaiya Siddiqi,2
Anam Amin,0
L Lee,0
D van Niekerk,12
T Chetty,30
M du Preez,14
M Kapp,20
Y van der Westhuizen,0
CL Tryon,3
S Ismail,13
S Loubser,1
S Luus,19
MM Letsoalo,0
DM Kimmince,17
AJ Healy,0
MM Lanning,6
AJ Blackwell,24
EA Perry,41
DM Kimmince,35
AJ Healy,9
MM Lanning,126
AJ Blackwell,12
CMA Shillington,22
ELC Flanagan,0
IMHC Joyce,28
MEMO Scott-Hayward,11
CNIM Joyce,11
EJ Tice,19
EAJ Richardson,6
LN McCarthy,0
MV Waldorn,4
CM Edwards,80
SJ Taylor,7
TT Beaumont,2
LS Greenway,3
NR Sciver-Brunt,20
HC Knight,18
JL Gunn,0
Ayasha Rahman,10
Shamima Sultana,1
Salma Khatun,3
Fargana Hoque,1
Rumana Ahmed,1
Lata Mondal,10
Nuzhat Tasnia,5
Sanjida Islam,5
Jahanara Alam,2
Fahima Khatun,16
Khadija Tul Kubra,1
