player,wickets
Asmavia Iqbal,0
Sumaiya Siddiqi,0
Sana Mir,0
Anam Amin,0
Qanita Jalil,0
Nida Dar,0
S Ismail,2
CL Tryon,0
S Loubser,1
M Kapp,3
MM Letsoalo,0
D van Niekerk,0
S Luus,2
RM Farrell,2
JL Jonassen,1
SJ Coyte,0
EA Perry,0
EA Osborne,2
JL Hunter,2
S Ismail,1
CL Tryon,0
S Loubser,1
M Kapp,0
D van Niekerk,0
S Luus,0
IMHC Joyce,1
LN McCarthy,0
EAJ Richardson,1
LK O'Reilly,0
EJ Tice,1
L Delany,0
HL Ferling,0
JL Jonassen,1
SJ Coyte,0
JL Hunter,0
EA Perry,2
EA Osborne,2
Salma Khatun,2
Jahanara Alam,0
Rumana Ahmed,1
Fahima Khatun,0
Khadija Tul Kubra,2
Lata Mondal,0
A Shrubshole,2
D Hazell,3
RL Grundy,0
NR Sciver-Brunt,3
JL Gunn,0
GA Elwiss,0
